,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,cabo san lucas,mx,1561325519,22.89,-109.91,97.0,29,5,5.82
1,hermanus,za,1561325628,-34.42,19.24,53.01,91,100,3.24
2,kenora,ca,1561325628,49.76,-94.48,75.2,41,75,9.17
3,punta arenas,cl,1561325628,-53.16,-70.91,39.2,86,75,10.29
4,beckley,us,1561325629,37.78,-81.19,82.4,69,75,4.65
5,new norfolk,au,1561325629,-42.78,147.06,36.0,95,20,8.05
6,te anau,nz,1561325629,-45.41,167.72,38.92,87,89,3.42
7,guiren,cn,1561325629,33.67,118.19,68.36,68,80,5.37
8,broome,au,1561325465,-17.97,122.23,55.4,93,0,14.99
9,castro,cl,1561325630,-42.48,-73.76,46.4,93,75,17.22
10,ushuaia,ar,1561325589,-54.81,-68.31,37.4,93,75,3.36
11,swan river,ca,1561325631,52.11,-101.27,64.75,52,81,10.96
12,nome,us,1561325334,30.04,-94.42,93.0,66,75,14.99
13,balkhash,kz,1561325631,46.84,74.98,65.66,31,94,10.76
14,east london,za,1561325631,-33.02,27.91,51.66,88,0,6.82
15,kidal,ml,1561325632,18.44,1.41,96.71,16,1,7.65
16,katsuura,jp,1561325632,33.93,134.5,68.0,88,75,5.82
17,sitka,us,1561325633,37.17,-99.65,75.99,57,0,7.0
18,pathein,mm,1561325633,16.78,94.73,81.61,85,96,5.39
19,acapulco,mx,1561325450,16.86,-99.88,86.0,74,40,8.05
20,yellowknife,ca,1561325633,62.45,-114.38,71.6,56,75,6.93
21,port augusta,au,1561325634,-32.49,137.76,35.01,92,31,4.7
22,kapaa,us,1561325634,22.08,-159.32,80.6,88,90,5.82
23,hamilton,bm,1561325497,32.3,-64.78,79.0,57,40,12.75
24,rikitea,pf,1561325634,-23.12,-134.97,67.36,92,100,13.76
25,namibe,ao,1561325358,-15.19,12.15,71.6,78,0,5.82
26,ostrovnoy,ru,1561325635,68.05,39.51,37.06,89,100,12.24
27,albertville,us,1561325635,34.27,-86.21,91.4,52,40,9.17
28,trairi,br,1561325635,-3.28,-39.27,73.91,87,33,2.82
29,tierralta,co,1561325636,8.17,-76.06,84.02,77,87,2.8
30,aklavik,ca,1561325636,68.22,-135.01,66.2,48,75,13.87
31,suhbaatar,mn,1561325637,50.23,106.21,56.72,81,68,2.95
32,lloydminster,ca,1561325637,53.28,-110.01,66.2,63,75,9.17
33,bethel,us,1561325638,60.79,-161.76,60.8,72,75,6.93
34,tasiilaq,gl,1561325638,65.61,-37.64,37.4,93,98,6.93
35,kruisfontein,za,1561325639,-34.0,24.73,49.18,91,2,2.55
36,jamestown,sh,1561325639,-15.94,-5.72,70.22,65,0,13.24
37,hobart,au,1561325639,-42.88,147.33,36.0,95,20,8.05
38,chokurdakh,ru,1561325639,70.62,147.9,66.06,47,0,9.98
39,ostashkov,ru,1561325640,57.14,33.12,52.96,74,0,2.53
40,hualmay,pe,1561325640,-11.1,-77.61,63.0,82,8,11.36
41,norman wells,ca,1561325412,65.28,-126.83,68.0,52,75,14.99
42,dikson,ru,1561325640,73.51,80.55,35.08,90,79,9.19
43,upernavik,gl,1561325641,72.79,-56.15,35.1,96,100,19.35
44,teya,ru,1561325641,60.37,92.63,55.73,82,83,1.68
45,muroto,jp,1561325642,33.37,134.14,64.4,88,20,6.93
46,kerman,us,1561325450,36.72,-120.06,96.01,21,1,8.05
47,alofi,nu,1561325410,-19.06,-169.92,78.8,65,100,13.87
48,faanui,pf,1561325642,-16.48,-151.75,77.99,81,56,26.19
49,qaanaaq,gl,1561325643,77.48,-69.36,34.24,65,100,5.77
50,bredasdorp,za,1561325643,-34.53,20.04,51.8,87,100,2.24
51,college,us,1561325643,64.86,-147.8,64.4,93,75,4.5
52,mizdah,ly,1561325643,31.45,12.98,87.79,16,0,12.91
53,kavieng,pg,1561325644,-2.57,150.8,81.83,71,100,2.84
54,havoysund,no,1561325647,71.0,24.66,48.2,87,75,8.05
55,lorengau,pg,1561325647,-2.02,147.27,79.4,82,77,3.29
56,abbeville,us,1561325648,29.97,-92.13,91.99,66,90,11.41
57,san cristobal,ec,1561325648,-1.02,-79.44,83.25,66,54,5.82
58,busselton,au,1561325649,-33.64,115.35,55.0,60,0,19.98
59,bloemfontein,za,1561325658,-29.12,26.22,41.24,75,0,3.2
60,tigzirt,dz,1561325658,36.57,4.2,89.62,10,0,14.99
61,cherskiy,ru,1561325658,68.75,161.3,70.02,38,0,5.1
62,souillac,mu,1561325659,-20.52,57.52,72.0,73,40,11.41
